Modelo,Acurácia,Precisão,Recall,F1-Score,AUC-ROC
Random Forest (Optimized),0.9258888888888889,0.884149855907781,0.767,0.8214190093708166,0.9717848571428572
Random Forest,0.9255555555555556,0.8808705612829324,0.769,0.8211425520555259,0.9721957857142858
Gradient Boosting,0.9234444444444444,0.8747855917667239,0.765,0.8162176580421445,0.9714193928571428
Support Vector Machine,0.9051111111111111,0.8215488215488216,0.732,0.7741935483870968,0.9559356428571429
Decision Tree,0.8937777777777778,0.7455315145813735,0.7925,0.7682985942801746,0.8576071428571429
Logistic Regression,0.8988888888888888,0.7920685959271169,0.739,0.7646145887221935,0.9520432857142855
K-Nearest Neighbors,0.8921111111111111,0.773524720893142,0.7275,0.749806750837413,0.9253807500000001
